"year","depletion","spawning_potential","spawning_potential_nofish","recruitment","fishing_mortality","key","axis","label","reference","alternative","is_diagnostic","model_order"
1952,0.992718785649431,1279.2075,1288.59,82.43232,0.0113970964769492,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1953,0.970127209310252,1280.825,1320.265,68.380895,0.0108730788462706,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1954,0.95650726335956,1285.6175,1344.075,96.589249,0.00742765942227377,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1955,0.945397444743166,1291.42,1366.0075,107.0488784,0.0108464259251864,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1956,0.930928381389111,1291.1325,1386.93,56.46881,0.0147445825589784,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1957,0.917530865047377,1332.8925,1452.695,43.0730089,0.0211289970457735,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1958,0.8934497622691,1307.8675,1463.84,89.723684,0.0280299930338656,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1959,0.862154700592518,1201.5225,1393.6275,42.821349,0.020419106001968,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1960,0.837247211337865,1087.5925,1299.01,54.317169,0.0242381322333099,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1961,0.825592877600478,1049.2625,1270.92,55.3850047,0.0203597663694151,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1962,0.813186881226433,985.0275,1211.3175,59.07401,0.0192645872688557,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1963,0.801829156601062,930.2,1160.0975,63.332494,0.0231468068164297,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1964,0.787853216919479,868.295,1102.1025,48.7718412,0.0163634783014817,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1965,0.792429781000033,846.525,1068.265,41.7403268,0.0187471019809872,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1966,0.797690797610089,840.11,1053.1775,78.4844424,0.0180802816030405,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1967,0.792873385203486,806.3225,1016.9625,34.776594,0.0228161443314717,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1968,0.789533861263289,769.9475,975.1925,51.469701,0.0185642114779342,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1969,0.7935836237068,772.635,973.6025,55.8557205,0.0218777848796117,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1970,0.789019425503866,746.655,946.3075,52.355611,0.0333189222529836,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1971,0.785610476939345,724.3525,922.025,36.8597639,0.0386312801543574,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1972,0.781162160919167,721.87,924.0975,39.963115,0.0519750027757593,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1973,0.760694082145569,678.735,892.2575,61.706589,0.0327344648278894,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1974,0.747739813088462,642.6805,859.4975,28.3493459,0.0512456770837125,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1975,0.733578194986007,619.89925,845.035,88.200253,0.0456469202381609,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1976,0.707299877956822,583.8955,825.5275,31.893098,0.0563194389596374,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1977,0.686876460367863,573.23275,834.55,70.1435976,0.0691659896316577,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1978,0.678178441872517,588.89625,868.35,9.426178,0.0559461573534831,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1979,0.660691370919609,575.62075,871.24,37.7960858,0.0714640038050984,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1980,0.634473224135001,550.718,867.9925,54.8923,0.0605851907694716,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1981,0.610977156975227,503.2405,823.665,68.414306,0.0895180703784611,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1982,0.59841792558553,477.9175,798.635,71.999332,0.108998562058342,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1983,0.590015830777002,478.92175,811.71,60.827005,0.131420193785134,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1984,0.585393393772353,510.27425,871.6775,59.4597418,0.149423101500825,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1985,0.56475083385268,527.85425,934.6675,70.3906389,0.138818091540197,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1986,0.539102818268137,516.67075,958.39,53.649452,0.155666531385061,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1987,0.522464493958485,517.68525,990.8525,91.1958628,0.16798788622292,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1988,0.502368194477179,522.21425,1039.505,84.875882,0.146839551483797,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1989,0.488016118931065,520.141,1065.8275,75.974982,0.133131523137586,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1990,0.481915058895096,550.58675,1142.4975,71.921575,0.180093957258896,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1991,0.471830942009709,567.59375,1202.96,70.8973142,0.20813305970467,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1992,0.454686373029701,561.06025,1233.95,89.759642,0.236250014406091,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1993,0.426557061408742,527.26825,1236.1025,50.532514,0.194520522608098,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1994,0.403507598373932,508.20975,1259.48,101.382458,0.191558197415644,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1995,0.377615517890182,481.67125,1275.56,38.352809,0.187654855284961,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1996,0.36924345328469,466.33325,1262.9425,113.47534,0.204632987861228,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1997,0.384320352767339,495.47925,1289.235,44.318744,0.289326956680959,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1998,0.368505791038453,487.11675,1321.87,110.740917,0.269487378368663,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
1999,0.343750185873606,462.344,1345,74.476699,0.425757016728022,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2000,0.312775730728972,425.063,1359.0025,118.303816,0.330468449587084,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2001,0.289565063352168,396.39575,1368.935,54.585515,0.288968332676617,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
2002,0.275380038599197,387.395,1406.765,96.789269,0.256250584194768,"diagnostic","Diagnostic reference","Diagnostic model","","",TRUE,0
