"Index","Var_name","Estimate","L_bound","U_bound","gradient","at_bound","family","target","p1","p2","p3","p4","mapped_value","absolute_error","mapped","note","fitted_index","local_index","jittered_value","jitter_method","jitter_space","jitter_scale","jitter_center","jitter_standardized_shift","jitter_effective_cv","jitter_max_safe_cv","jitter_cv_limited","jitter_safe_cv_cap_enabled","boundary_adjusted","nominal_cv"
1,"diff_coffs(1,1)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,1,NA,NA,0.1,0,TRUE,NA,1,1,0.102212870246937,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,0.221287024693667,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
2,"diff_coffs(1,2)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,2,NA,NA,0.1,0,TRUE,NA,2,2,0.0951585357757931,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,-0.484146422420693,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
3,"diff_coffs(1,3)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,3,NA,NA,0.1,0,TRUE,NA,3,3,0.111301698026219,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,1.13016980262188,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
4,"diff_coffs(1,4)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,4,NA,NA,0.1,0,TRUE,NA,4,4,0.114113297409101,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,1.41132974091013,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
5,"diff_coffs(1,5)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,5,NA,NA,0.1,0,TRUE,NA,5,5,0.0968912539451019,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,-0.310874605489807,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
6,"diff_coffs(1,6)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,6,NA,NA,0.1,0,TRUE,NA,6,6,0.112810574986394,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,1.28105749863942,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
7,"diff_coffs(1,7)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,7,NA,NA,0.1,0,TRUE,NA,7,7,0.100515329332959,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,0.0515329332959336,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
8,"diff_coffs(1,8)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,8,NA,NA,0.1,0,TRUE,NA,8,8,0.102504730361913,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,0.250473036191286,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
9,"diff_coffs(1,9)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,9,NA,NA,0.1,0,TRUE,NA,9,9,0.0882969726187809,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,-1.17030273812191,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
10,"diff_coffs(1,10)",0.1,0,4,0,FALSE,"diff_coffs","diff_coffs",1,10,NA,NA,0.1,0,TRUE,NA,10,10,0.0967737479286125,"mean_preserving_scaled_beta","bounded_natural",0.01,0.1,-0.322625207138752,0.1,1.36277028773849,FALSE,TRUE,FALSE,0.1
