"Fit","Axis","MGC","Objective function value","PDH"
"h = 0.65","Steepness","2.42 × 10⁻³","90,815.1","Yes"
"h = 0.80","Steepness","9.82 × 10⁻⁵","90,814.9","Yes"
"h = 0.95","Steepness","8.20 × 10⁻⁵","90,814.8","Yes"
"τ = 1","Tag overdispersion (τ)","7.86 × 10⁻⁵","89,811.1","Yes"
"τ = 1.2","Tag overdispersion (τ)","9.93 × 10⁻⁵","90,708.7","Yes"
"τ = 1.4","Tag overdispersion (τ)","6.97 × 10⁻⁵","94,950.7","Yes"
"τ = 1.6","Tag overdispersion (τ)","9.28 × 10⁻⁵","89,888.8","Yes"
"τ = 1.8","Tag overdispersion (τ)","9.11 × 10⁻⁵","95,044.2","Yes"
"K = 0.1","Tag mixing periods (KS D-statistic cutoff)","9.63 × 10⁻⁵","94,713.6","Yes"
"K = 0.3","Tag mixing periods (KS D-statistic cutoff)","9.37 × 10⁻⁴","100,605.3","Yes"
"0.5 sub-basin","Conditional age-at-length","9.56 × 10⁻⁵","88,772.9","Yes"
"1.0 sub-basin","Conditional age-at-length","9.19 × 10⁻⁵","101,291.6","Yes"
"M scalar = 0.062","Natural mortality","9.96 × 10⁻⁵","91,019.8","Yes"
"M scalar = 0.1","Natural mortality","9.58 × 10⁻⁵","91,685.5","Yes"
"2.5% / 1.25%","Effort creep","8.38 × 10⁻⁵","90,830.6","Yes"
"Whole-period scaling","Regional scaling","9.12 × 10⁻⁵","90,084.9","Yes"
"Reporting rates applied during mixing","Reporting rates during tag-mixing periods","8.64 × 10⁻⁵","94,961.0","Yes"
