key,axis,label,reference,alternative,scientific_change
steepness-0.65,Steepness,Steepness 0.65,0.90,0.65,Set fixed sv(29) to 0.65
steepness-0.80,Steepness,Steepness 0.80,0.90,0.80,Set fixed sv(29) to 0.80
steepness-0.95,Steepness,Steepness 0.95,0.90,0.95,Set fixed sv(29) to 0.95
tau-1.006738,Tag overdispersion,Tau 1.006738,2.0,1.006737947,Set all fixed fish_pars(4) to the direct-parameter lower bound -5
tau-1.2,Tag overdispersion,Tau 1.2,2.0,1.2,Set all fixed fish_pars(4) to log(1.2-1)
tau-1.4,Tag overdispersion,Tau 1.4,2.0,1.4,Set all fixed fish_pars(4) to log(1.4-1)
tau-1.6,Tag overdispersion,Tau 1.6,2.0,1.6,Set all fixed fish_pars(4) to log(1.6-1)
tau-1.8,Tag overdispersion,Tau 1.8,2.0,1.8,Set all fixed fish_pars(4) to log(1.8-1)
tau-4,Tag overdispersion,Tau 4,2.0,4.0,Set all fixed fish_pars(4) to log(4-1)
tau-8,Tag overdispersion,Tau 8,2.0,8.0,Set all fixed fish_pars(4) to log(8-1)
tau-16,Tag overdispersion,Tau 16,2.0,16.0,Set all fixed fish_pars(4) to log(16-1)
tag-mixing-k-0.1,Tag mixing periods (KS D-statistic cutoff),Tag mixing periods - K=0.1,Derived at K=0.2,Derived at K=0.1,Use tag_flags column 1 containing the release-group mixing periods derived at K=0.1 in SC22-IP10
tag-mixing-k-0.3,Tag mixing periods (KS D-statistic cutoff),Tag mixing periods - K=0.3,Derived at K=0.2,Derived at K=0.3,Use tag_flags column 1 containing the release-group mixing periods derived at K=0.3 in SC22-IP10
caal-0.5-sub-basin,Conditional age-at-length,CAAL 0.5 sub-basin,0.75 sub-basin,0.5 sub-basin,Use one-half of every effective-sample-size value in the 1.0 sub-basin file
caal-1.0-sub-basin,Conditional age-at-length,CAAL 1.0 sub-basin,0.75 sub-basin,1.0 sub-basin,Use the authoritative 1.0 sub-basin file unchanged
lorenzen-m-scalar-0.062,Natural mortality,Lorenzen M scalar 0.062,0.078,0.062,Set the first Lorenzen M coefficient to log(0.062)
lorenzen-m-scalar-0.1,Natural mortality,Lorenzen M scalar 0.1,0.078,0.1,Set the first Lorenzen M coefficient to log(0.1)
effort-creep-high,Effort creep,Effort creep high (2.5% / 1.25%),1% / 0.5%,2.5% / 1.25%,Replace only the effort field for F29-F33 from the authoritative high-creep FRQ
regional-scaling-whole-period,Regional scaling,Regional scaling whole period,Current 5-year window,periods 3-292,Use all 290 mutually supported periods and parest flags 77-81 = 100 1 290 0 1
pre-mixing-tag-reporting-inclusion,Pre-mixing tag reporting,Pre-mixing tag reporting inclusion,Pre-mixing exclusion,Pre-mixing inclusion,Set only tag_flags column 2 to zero
